Drug Name,Condition,Rating,Content
Paroxetine,Hot Flashes,10,"Brisdelle (paroxetine)""I have been taking Brisdelle for two weeks now, but had to stop taking it due to the unacceptable side effects.  It worked like a charm on my hot flashes, reducing them from at least 12-15 times in a 24 hour period (with night sweats) to only 1 per day.  However, I found it impossible to sleep, I could not keep my hands and feet still, I had congestion so bad that I thought I had a sinus infection and also suffered blurred vision.  I tried taking it in the morning instead of at night, but it made no difference to my insomnia.  I have, therefore, discontinued it altogether."""
Tamsulosin,Urinary Tract StonesOff-label,8,"Flomax (tamsulosin)""This was my third kidney stone. The first two (3mm) were very painful and I used pain killers, no flomax. The ER did a CAT scan and said this stone was 5 mm and located at the junction between the ureter and kidney, and was causing mild hydronephrosis. They gave me flomax and pain meds. I do not like to take medicine and since pain was bearable at that point, I just took the flomax not the pain meds. I was skeptical since the FDA has only approved Flomax in men with prostate issues but doctor explained it helps the ureter stretch. I took it in the evenings after dinner and had no noticeable side effects. Took about two weeks, but stone passed and I never took a singe pain pill - did drink tons of water, had a bit of cramping, that's all!"""
Prozac,Depression,9,"""I've taken prozac for 2 weeks now. So far I've experienced a big decrease in appetite, which has been okay. The two major things that this drug has changed for me is that it's made me calm and collected and it makes me worry/stress less. The thoughts and problems that usually fill in my head don't affect me as much anymore and I get over things much quicker, which has led to decreasing my stress and my severe anxiety. I've also felt very calm and mellow, which could turn some people off but for me it has been a blessing. I've always not been able to stay still or focus, and am very scatterbrained, so this is a huge change that I've welcomed. It has helped me actually get things done and focus, and has made me much more productive since I actually have the motivation to do things now. Thanks for reading, I wish all of you luck on Prozac! Will definitely continue taking this amazing drug and am excited to see how much more it can positively change my life in the future."""
Paroxetine,Obsessive Compulsive Disorder,10,"Paxil (paroxetine)""I took Paxil for about 10 yrs (no weight gain) and quit it recently with the help of my primary care doctor by weaning off of it for 6 months.  Unfortunately, 2 weeks after quitting, my symptoms of anxiety and depression have returned 2-fold!  I have not been formally diagnosed with anything yet, but do know that Paxil worked the BEST for me!  I want to go back on it, but it is Category D- so IF I ever want to have a baby I cannot be on it while pregnant!  
At the moment, I am trying Wellbutrin, after trying 3 weeks on Buspar to help me (that didn't help).  It's only been a week on Wellbutrin and I see some improvements, but nothing like the Paxil.  I may ask to go back to Paxil if switching medicines doesn't work. I felt like ""myself"" on Paxil!"""
Bisacodyl,Constipation,10,"""So far it's okay. Sometimes it works faster than others. I take three tabs for proper evacuation. The only thing I dislike about it is the smell of the fecal matter. It smells so bad."""
Cefdinir,Otitis Media,1,"""My 6 year old Daughter was given this medication for supposed wheezing in her lungs . 3rd dose she broke out all over her face & body! Itched horribly. Ended up taking her to an ER & doctor said to immediately stop this medication & had to give her a cortisone shot to reduce the rash :( I strongly advise to reconsider if given this medication and you have other options."""
Ozempic,"Diabetes, Type 2",10,"""I have not had any side effects, get full fasted."""
Phentermine,Weight Loss (Obesity/Overweight),7,"Adipex-P (phentermine)""Hello eveyone I am a 31 year old female 198 was my starting weight on October 27,2016, 6 days later I'm down 11 pounds! I gave up coca cola drinking lots of water and eating smaller portions!!"""
Oxycodone and acetaminophen,Chronic Pain,10,"Percocet (acetaminophen / oxycodone)""I’m a Disabled Veteran who has had 13 knee surgeries of these are included the removal of the patella in each knee and since 2015 my right knee has been replaced 2x I’m currently prescribed Percocet 5/325 at 2 per day. I find this medication is more than capable of controlling my pain."""
Yasmin,Acne,9,"""It takes a while to work, but for me, it has worked wonders! And personally, no side effects."""
Abilify,Depression,10,"""My girlfriend is being helped tremendously.   But the only complaint is pill size.  My dr gave me 10mg, I take a half pill.  Tiniest thing ever...lol"""
Junel,Birth Control,7,"Lo Loestrin Fe (ethinyl estradiol / norethindrone)""Since being on LOLO I had spotting the first month and never got a period after that, even on the placebo pills. It has heightened my anxiety and I do experience nausea, but I also got nauseous on my period before lolo so its not a huge complaint. I've never thrown up on the pill and I used to throw up after Alesse which is a higher dose. I'm choosing to stop LOLO as not having a period when your active and not having confirmation of not being pregnant does not keep me at ease. Other wise it is a good low dose option."""
Misoprostol,AbortionOff-label,10,"""I had to leave a review because I can't believe how bad some of these are. Some sound so scarey and I don't want people to read these and get scared off. First, pain medication does NOT interfere with this. I was 5 weeks. I was given first dose in office & prescribed nausea meds, 800mg Ibprofen and Tramadol. 24 hours later I took the nausea meds & ibprofen an hour before I put the 4 pills in between my gums and cheek. I had started light spotting. 30 minutes later I swallowed what was left of pills. Within 15 min passed a lemon sized clot. Cramping was like a bad period. I did take 1 tramadol & it made me sleepy. I used a heating pad & had one bout of diarrhea, no nausea. I passed small clots and have been bleeding but no other large clots. I have a follow up ultrasound to confirm it worked. This wasn't as bad as some of the  other reviewers experienced and I want people to know that everyone will have a different experience."""
Budesonide,Ulcerative Colitis,1,"Uceris (budesonide)""Tried this twice for flares prior to Prednisone while on Lialda as my main med. Didn't work for me at all. If anything it made flares worse. Only Prednisone helped clear the flares."""
Dexamethasone,"Nausea/Vomiting, Chemotherapy Induced",10,"""I have stage 2 gastric cancer and receive FLOT chemotherapy. I receive dexamethasone IV on the day of chemo and take 4 mg orally the following morning. I also take ondansetron 8 mg three times a day as needed. I have not had any issues with vomiting and my nausea is well controlled. The only side effect I have is insomnia on those days I receive dexamethasone. I am not diabetic so I have no issues with blood glucose."""
